transaction_id,date,amount,description,counterparty
TXN-000001,2026-07-21,398.17,PAYPAL TRANSFER 783,STARBUCKS
TXN-000002,2026-08-03,927.03,MICROSOFT 365 771,AMAZON
TXN-000003,2026-08-12,728.64,WALMART SUPER 515,DOORDASH
TXN-000004,2026-07-29,329.91,APPLE STORE 935,GITHUB
TXN-000005,2026-07-25,572.59,APPLE STORE 302,NETFLIX
TXN-000006,2026-07-22,523.23,DOORDASH DELIVERY 222,APPLE
TXN-000007,2026-08-12,961.37,AMAZON PRIME 866,GITHUB
TXN-000008,2026-08-04,845.31,WALMART SUPER 379,UBER
TXN-000009,2026-07-21,748.58,PAYPAL TRANSFER 983,UBER
TXN-000010,2026-08-09,541.99,UBER TRIP 297,APPLE
TXN-000011,2026-08-02,588.82,WALMART SUPER 610,WALMART
TXN-000012,2026-08-06,965.43,AMAZON PRIME 300,NETFLIX
TXN-000013,2026-07-25,609.0,GITHUB PRO 286,SPOTIFY
TXN-000014,2026-07-25,279.62,WALMART SUPER 563,MICROSOFT
TXN-000015,2026-08-07,299.79,NETFLIX SUBSCRIPTION 759,WALMART
TXN-000016,2026-08-04,169.44,GITHUB PRO 502,MICROSOFT
TXN-000017,2026-07-18,20.56,MICROSOFT 365 610,MICROSOFT
TXN-000018,2026-07-22,426.28,NETFLIX SUBSCRIPTION 247,WALMART
TXN-000019,2026-08-07,397.91,APPLE STORE 919,AMAZON
TXN-000020,2026-07-17,297.02,SPOTIFY PREMIUM 739,STARBUCKS
TXN-000021,2026-08-05,19.01,APPLE STORE 437,MICROSOFT
TXN-000022,2026-08-04,202.85,DOORDASH DELIVERY 740,WALMART
TXN-000023,2026-07-16,712.79,AMAZON WEB SERVICES 572,WALMART
TXN-000024,2026-08-07,791.22,UBER TRIP 250,AWS
TXN-000025,2026-07-26,607.93,MICROSOFT 365 710,GITHUB
TXN-000026,2026-08-13,926.67,APPLE STORE 863,PAYPAL
TXN-000027,2026-07-20,652.82,MICROSOFT 365 723,AMAZON
TXN-000028,2026-07-16,915.38,SPOTIFY PREMIUM 671,DOORDASH
TXN-000029,2026-08-11,850.79,AMAZON PRIME 101,PAYPAL
TXN-000030,2026-08-04,452.2,AMAZON PRIME 403,GITHUB
TXN-000031,2026-07-15,99.93,GITHUB PRO 552,GITHUB
TXN-000032,2026-07-26,373.96,PAYPAL TRANSFER 259,GITHUB
TXN-000033,2026-08-09,670.5,AMAZON WEB SERVICES 108,PAYPAL
TXN-000034,2026-08-05,667.59,SPOTIFY PREMIUM 198,APPLE
TXN-000035,2026-08-12,593.34,NETFLIX SUBSCRIPTION 915,STARBUCKS
TXN-000036,2026-07-26,278.35,NETFLIX SUBSCRIPTION 503,WALMART
TXN-000037,2026-08-08,563.44,DOORDASH DELIVERY 153,STARBUCKS
TXN-000038,2026-07-31,386.01,DOORDASH DELIVERY 772,NETFLIX
TXN-000039,2026-08-10,971.85,DOORDASH DELIVERY 727,APPLE
TXN-000040,2026-08-10,849.67,AMAZON WEB SERVICES 724,DOORDASH
TXN-000041,2026-07-24,723.12,DOORDASH DELIVERY 519,STARBUCKS
TXN-000042,2026-08-11,239.8,WALMART SUPER 203,UBER
