txn_ref,date,amount,vendor_name,merchant_desc
TXN-000001,2026-07-21,398.17,STARBUCKS,PAYPAL TRANSFER 783
TXN-000002,2026-08-03,927.03,AMAZON,MICROSOFT 365 771
TXN-000003,2026-08-12,728.64,DOORDASH,WALMART SUPER 515
TXN-000004,2026-07-29,329.91,GITHUB,APPLE STORE 935
TXN-000005,2026-07-25,572.59,NETFLIX,APPLE STORE 302
TXN-000006,2026-07-22,523.23,APPLE,DOORDASH DELIVERY 222
TXN-000007,2026-08-12,961.37,GITHUB,AMAZON PRIME 866
TXN-000008,2026-08-04,845.31,UBER,WALMART SUPER 379
TXN-000009,2026-07-21,748.58,UBER,PAYPAL TRANSFER 983
TXN-000010,2026-08-09,541.99,APPLE,UBER TRIP 297
TXN-000011,2026-08-02,588.82,WALMART,WALMART SUPER 610
TXN-000012,2026-08-06,965.43,NETFLIX,AMAZON PRIME 300
TXN-000013,2026-07-25,609.0,SPOTIFY,GITHUB PRO 286
TXN-000014,2026-07-25,279.62,MICROSOFT,WALMART SUPER 563
TXN-000015,2026-08-07,299.79,WALMART,NETFLIX SUBSCRIPTION 759
TXN-000016,2026-08-04,169.44,MICROSOFT,GITHUB PRO 502
TXN-000017,2026-07-18,20.56,MICROSOFT,MICROSOFT 365 610
TXN-000018,2026-07-22,426.28,WALMART,NETFLIX SUBSCRIPTION 247
TXN-000019,2026-08-07,397.91,AMAZON,APPLE STORE 919
TXN-000020,2026-07-17,297.02,STARBUCKS,SPOTIFY PREMIUM 739
TXN-000021,2026-08-05,19.01,MICROSOFT,APPLE STORE 437
TXN-000022,2026-08-04,202.85,WALMART,DOORDASH DELIVERY 740
TXN-000023,2026-07-16,712.79,WALMART,AMAZON WEB SERVICES 572
TXN-000024,2026-08-07,791.22,AWS,UBER TRIP 250
TXN-000025,2026-07-26,607.93,GITHUB,MICROSOFT 365 710
TXN-000026,2026-08-13,926.67,PAYPAL,APPLE STORE 863
TXN-000027,2026-07-20,652.82,AMAZON,MICROSOFT 365 723
TXN-000028,2026-07-16,915.38,DOORDASH,SPOTIFY PREMIUM 671
TXN-000029,2026-08-11,850.79,PAYPAL,AMAZON PRIME 101
TXN-000030,2026-08-04,452.2,GITHUB,AMAZON PRIME 403
TXN-000031,2026-07-15,99.93,GITHUB,GITHUB PRO 552
TXN-000032,2026-07-26,373.96,GITHUB,PAYPAL TRANSFER 259
TXN-000033,2026-08-09,670.5,PAYPAL,AMAZON WEB SERVICES 108
TXN-000034,2026-08-05,667.59,APPLE,SPOTIFY PREMIUM 198
TXN-000035,2026-08-12,593.34,STARBUCKS,NETFLIX SUBSCRIPTION 915
TXN-000036,2026-07-26,278.35,WALMART,NETFLIX SUBSCRIPTION 503
TXN-000037,2026-08-08,563.44,STARBUCKS,DOORDASH DELIVERY 153
TXN-000038,2026-07-31,386.01,NETFLIX,DOORDASH DELIVERY 772
TXN-000039,2026-08-10,971.85,APPLE,DOORDASH DELIVERY 727
TXN-000040,2026-08-10,849.67,DOORDASH,AMAZON WEB SERVICES 724
TXN-000041,2026-07-24,723.12,STARBUCKS,DOORDASH DELIVERY 519
TXN-000042,2026-08-11,239.8,UBER,WALMART SUPER 203
