transaction_id,date,amount,description,counterparty
STARBUCKS,2026-07-21,398.17,TXN-000001,PAYPAL TRANSFER 783
AMAZON,2026-08-03,927.03,TXN-000002,MICROSOFT 365 771
DOORDASH,2026-08-12,728.64,TXN-000003,WALMART SUPER 515
GITHUB,2026-07-29,329.91,TXN-000004,APPLE STORE 935
NETFLIX,2026-07-25,572.59,TXN-000005,APPLE STORE 302
APPLE,2026-07-22,523.23,TXN-000006,DOORDASH DELIVERY 222
GITHUB,2026-08-12,961.37,TXN-000007,AMAZON PRIME 866
UBER,2026-08-04,845.31,TXN-000008,WALMART SUPER 379
UBER,2026-07-21,748.58,TXN-000009,PAYPAL TRANSFER 983
APPLE,2026-08-09,541.99,TXN-000010,UBER TRIP 297
WALMART,2026-08-02,588.82,TXN-000011,WALMART SUPER 610
NETFLIX,2026-08-06,965.43,TXN-000012,AMAZON PRIME 300
SPOTIFY,2026-07-25,609.0,TXN-000013,GITHUB PRO 286
MICROSOFT,2026-07-25,279.62,TXN-000014,WALMART SUPER 563
WALMART,2026-08-07,299.79,TXN-000015,NETFLIX SUBSCRIPTION 759
MICROSOFT,2026-08-04,169.44,TXN-000016,GITHUB PRO 502
MICROSOFT,2026-07-18,20.56,TXN-000017,MICROSOFT 365 610
WALMART,2026-07-22,426.28,TXN-000018,NETFLIX SUBSCRIPTION 247
AMAZON,2026-08-07,397.91,TXN-000019,APPLE STORE 919
STARBUCKS,2026-07-17,297.02,TXN-000020,SPOTIFY PREMIUM 739
MICROSOFT,2026-08-05,19.01,TXN-000021,APPLE STORE 437
WALMART,2026-08-04,202.85,TXN-000022,DOORDASH DELIVERY 740
WALMART,2026-07-16,712.79,TXN-000023,AMAZON WEB SERVICES 572
AWS,2026-08-07,791.22,TXN-000024,UBER TRIP 250
GITHUB,2026-07-26,607.93,TXN-000025,MICROSOFT 365 710
PAYPAL,2026-08-13,926.67,TXN-000026,APPLE STORE 863
AMAZON,2026-07-20,652.82,TXN-000027,MICROSOFT 365 723
DOORDASH,2026-07-16,915.38,TXN-000028,SPOTIFY PREMIUM 671
PAYPAL,2026-08-11,850.79,TXN-000029,AMAZON PRIME 101
GITHUB,2026-08-04,452.2,TXN-000030,AMAZON PRIME 403
GITHUB,2026-07-15,99.93,TXN-000031,GITHUB PRO 552
GITHUB,2026-07-26,373.96,TXN-000032,PAYPAL TRANSFER 259
PAYPAL,2026-08-09,670.5,TXN-000033,AMAZON WEB SERVICES 108
APPLE,2026-08-05,667.59,TXN-000034,SPOTIFY PREMIUM 198
STARBUCKS,2026-08-12,593.34,TXN-000035,NETFLIX SUBSCRIPTION 915
WALMART,2026-07-26,278.35,TXN-000036,NETFLIX SUBSCRIPTION 503
STARBUCKS,2026-08-08,563.44,TXN-000037,DOORDASH DELIVERY 153
NETFLIX,2026-07-31,386.01,TXN-000038,DOORDASH DELIVERY 772
APPLE,2026-08-10,971.85,TXN-000039,DOORDASH DELIVERY 727
DOORDASH,2026-08-10,849.67,TXN-000040,AMAZON WEB SERVICES 724
STARBUCKS,2026-07-24,723.12,TXN-000041,DOORDASH DELIVERY 519
UBER,2026-08-11,239.8,TXN-000042,WALMART SUPER 203
GITHUB,2026-08-11,259.79,TXN-000043,STARBUCKS #123 353
MICROSOFT,2026-07-30,45.23,TXN-000044,NETFLIX SUBSCRIPTION 211
NETFLIX,2026-07-29,712.11,TXN-000045,SPOTIFY PREMIUM 198
AMAZON,2026-08-13,115.34,TXN-000046,SPOTIFY PREMIUM 960
DOORDASH,2026-08-13,442.14,TXN-000047,UBER TRIP 995
NETFLIX,2026-07-29,205.71,TXN-000048,UBER TRIP 805
GITHUB,2026-08-13,896.28,TXN-000049,WALMART SUPER 262
MICROSOFT,2026-08-02,477.99,TXN-000050,SPOTIFY PREMIUM 260
APPLE,2026-07-26,565.46,TXN-000051,STARBUCKS #123 900
MICROSOFT,2026-08-06,697.04,TXN-000052,PAYPAL TRANSFER 915
PAYPAL,2026-08-03,143.63,TXN-000053,STARBUCKS #123 603
MICROSOFT,2026-08-08,606.4,TXN-000054,DOORDASH DELIVERY 234
PAYPAL,2026-07-17,542.14,TXN-000055,NETFLIX SUBSCRIPTION 500
APPLE,2026-07-19,207.05,TXN-000056,AMAZON PRIME 787
SPOTIFY,2026-08-02,943.14,TXN-000057,GITHUB PRO 982
GITHUB,2026-07-21,600.87,TXN-000058,WALMART SUPER 474
PAYPAL,2026-08-04,696.31,TXN-000059,WALMART SUPER 849
AMAZON,2026-07-23,881.07,TXN-000060,WALMART SUPER 329
MICROSOFT,2026-07-21,626.23,TXN-000061,NETFLIX SUBSCRIPTION 537
MICROSOFT,2026-08-01,299.16,TXN-000062,DOORDASH DELIVERY 382
AMAZON,2026-07-18,109.97,TXN-000063,AMAZON WEB SERVICES 325
UBER,2026-08-08,459.25,TXN-000064,PAYPAL TRANSFER 897
WALMART,2026-08-11,222.35,TXN-000065,AMAZON PRIME 383
SPOTIFY,2026-07-28,419.43,TXN-000066,AMAZON PRIME 552
DOORDASH,2026-08-01,883.86,TXN-000067,GITHUB PRO 928
PAYPAL,2026-08-09,327.72,TXN-000068,NETFLIX SUBSCRIPTION 615
AMAZON,2026-07-23,126.48,TXN-000069,NETFLIX SUBSCRIPTION 291
APPLE,2026-08-09,359.52,TXN-000070,AMAZON PRIME 611
PAYPAL,2026-08-04,907.29,TXN-000071,AMAZON PRIME 271
WALMART,2026-07-16,275.77,TXN-000072,GITHUB PRO 257
APPLE,2026-08-03,649.45,TXN-000073,PAYPAL TRANSFER 617
NETFLIX,2026-08-11,5.52,TXN-000074,NETFLIX SUBSCRIPTION 991
GITHUB,2026-07-29,355.81,TXN-000075,SPOTIFY PREMIUM 136
MICROSOFT,2026-08-11,308.26,TXN-000076,DOORDASH DELIVERY 448
NETFLIX,2026-07-21,168.83,TXN-000077,AMAZON PRIME 401
PAYPAL,2026-07-26,536.42,TXN-000078,PAYPAL TRANSFER 706
WALMART,2026-08-12,487.41,TXN-000079,NETFLIX SUBSCRIPTION 799
SPOTIFY,2026-07-22,693.97,TXN-000080,AMAZON PRIME 215
GITHUB,2026-07-29,273.07,TXN-000081,PAYPAL TRANSFER 260
PAYPAL,2026-07-17,247.9,TXN-000082,NETFLIX SUBSCRIPTION 227
AMAZON,2026-07-28,172.45,TXN-000083,UBER TRIP 892
STARBUCKS,2026-07-31,222.67,TXN-000084,MICROSOFT 365 834
PAYPAL,2026-07-18,560.31,TXN-000085,WALMART SUPER 669
GITHUB,2026-08-01,406.82,TXN-000086,NETFLIX SUBSCRIPTION 971
MICROSOFT,2026-07-22,69.57,TXN-000087,DOORDASH DELIVERY 725
MICROSOFT,2026-07-18,257.65,TXN-000088,WALMART SUPER 762
PAYPAL,2026-07-16,250.64,TXN-000089,UBER TRIP 738
APPLE,2026-08-13,697.82,TXN-000090,AMAZON WEB SERVICES 589
STARBUCKS,2026-07-20,713.71,TXN-000091,UBER TRIP 884
AMAZON,2026-08-05,152.35,TXN-000092,DOORDASH DELIVERY 492
PAYPAL,2026-07-24,997.75,TXN-000093,AMAZON WEB SERVICES 345
APPLE,2026-07-18,270.45,TXN-000094,APPLE STORE 576
MICROSOFT,2026-08-05,976.73,TXN-000095,MICROSOFT 365 858
MICROSOFT,2026-08-12,413.98,TXN-000096,MICROSOFT 365 966
WALMART,2026-08-01,37.89,TXN-000097,UBER TRIP 507
PAYPAL,2026-08-09,348.35,TXN-000098,GITHUB PRO 605
STARBUCKS,2026-07-26,636.18,TXN-000099,APPLE STORE 924
UBER,2026-07-16,682.3,TXN-000100,STARBUCKS #123 784
